POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_450_BW_U2_00;;;;;
Plan:P5_15085-02_T_08_451_BW_U2_00;;;;;
18;42;10;0,88;22,80;
19;51;12;3,07;139,03;
20;46;12;2,25;91,91;
21;3;14;2,50;9,07;
22;4;10;1,36;3,36;
23;94;10;1,20;69,60;
24;30;10;1,17;21,66;
25;10;20;6,00;148,20;
26;175;8;0,42;29,03;
27;19;12;10,80;182,22;
28;19;12;8,40;141,72;
29;19;12;2,15;36,27;
30;25;12;1,50;33,30;
31;16;14;3,00;58,08;
32;4;16;4,50;28,44;
33;12;16;2,35;44,56;
34;40;10;1,60;39,49;
35;20;10;2,80;34,55;
37;50;10;4,40;135,74;
38;56;10;2,37;81,89;
39;27;10;4,27;71,13;
40;19;10;1,43;16,76;
41;18;10;1,64;18,21;
42;19;10;0,85;9,96;
43;37;10;0,88;20,09;
201;70;12;0,80;49,73;
202;81;12;0,53;38,12;
13;53;10;1,70;55,59;
36;48;12;2,30;98,04;
44;38;12;2,40;80,99;
Plan:P5_15085-02_T_08_471_BW_U2_01;;;;;
1;172;10;4,55;482,86;
2;262;10;6,40;1034,59;
3;86;10;1,78;94,45;
4;86;12;4,55;347,47;
5;36;10;1,70;37,76;
6;43;12;1,98;75,60;
7;4;10;1,18;2,91;
8;6;10;1,20;4,44;
9;8;14;1,75;16,94;
10;90;8;0,42;14,93;
11;2;10;4,20;5,18;
201;204;12;1,10;199,27;
Plan:RNDlistopenDWGs;;;;;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
1;276;10;5,75;979,18;
2;60;10;1,70;62,93;
3;224;10;1,64;226,66;
4;171;10;5,00;527,54;
5;64;8;2,03;51,32;
6;4;16;6,00;37,92;
7;4;16;9,90;62,57;
8;2;16;7,45;23,54;
9;2;16;8,45;26,70;
10;30;10;0,94;17,40;
11;15;12;4,11;54,75;
12;5;12;4,14;18,38;
13;114;10;7,20;506,43;
14;40;12;1,20;42,62;
15;40;10;1,19;29,37;
16;4;16;6,75;42,66;
17;4;14;2,59;12,54;
